16,29,32,36,41,7,9
7,13,39,47,50,2,5
14,18,19,31,37,4,5
4,7,33,37,39,1,5
15,24,28,44,47,4,5
33,36,37,42,45,4,9
3,4,10,23,43,2,4
4,12,24,27,36,2,9
1,4,10,19,23,2,8
14,15,28,35,40,1,3
6,10,21,45,49,3,5
5,6,16,23,27,6,7
15,16,21,36,38,1,5
1,3,21,32,39,2,6
15,29,37,39,49,4,9
6,11,35,41,44,5,6
9,13,34,41,42,3,7
2,7,8,10,47,1,7
2,23,28,40,43,2,6
3,21,30,34,35,1,2
4,23,24,28,34,1,3
2,5,12,19,44,8,9
24,26,31,38,50,5,8
7,10,27,31,34,3,8
9,10,19,37,50,1,6
5,15,24,35,44,5,6
20,27,41,43,50,5,8
6,9,10,27,35,6,8
1,11,22,28,44,1,9
8,12,14,15,34,6,7
5,25,33,36,38,2,5
15,18,29,39,41,5,8
21,26,27,44,48,1,7
12,20,21,45,48,5,6
1,10,12,16,48,2,6
14,21,22,37,43,5,8
1,9,23,25,40,3,9
1,8,32,35,38,4,9
6,19,25,42,49,1,7
4,11,12,13,32,3,9
1,18,29,34,37,6,2
1,4,24,34,36,6,8
1,11,15,42,49,3,4
1,3,13,16,43,2,7
15,19,22,46,49,2,9
3,4,27,29,37,5,6
7,8,24,25,47,8,9
4,23,24,29,31,8,9
19,8,42,18,20,5,9
43,4,14,33,13,6,1
30,47,2,37,5,6,3
35,19,40,26,11,2,5
50,14,6,16,34,6,4
20,17,16,4,29,7,5
21,6,11,39,30,8,2
29,47,46,34,21,6,8
42,20,6,16,46,1,6
17,50,8,2,32,3,7
15,47,35,25,14,9,5
26,9,20,21,5,6,3
22,10,31,24,20,7,2
30,5,8,49,24,9,3
16,42,31,7,4,5,3
37,41,49,36,8,7,5
12,15,35,42,43,4,6
30,16,41,38,6,2,4
6,21,18,17,34,9,3
44,29,24,23,22,5,1
29,11,46,7,50,4,7
23,30,31,47,12,3,4
20,6,18,29,31,8,2
35,9,33,38,40,6,2
19,43,45,34,11,5,9
15,25,32,26,13,4,3
47,9,28,5,43,2,9
33,15,13,5,8,8,9
25,30,19,18,44,3,1
41,43,44,46,20,2,9
49,30,35,32,14,8,3
4,17,5,34,14,5,3
9,22,24,27,36,5,7
44,5,14,4,46,9,8
49,50,26,29,11,4,7
4,44,27,22,36,9,7
39,43,30,17,9,7,5
46,38,34,35,39,3,4
5,45,1,38,18,6,4
37,12,38,31,43,3,2
42,11,29,7,18,7,6
19,18,49,12,43,9,3
46,1,26,36,33,7,6
38,28,30,39,10,7,2
18,37,8,16,43,2,6
26,18,12,24,45,5,4
44,23,24,21,7,3,4
17,11,26,40,9,9,3
46,3,7,8,43,6,8
6,36,22,25,24,3,8
15,21,6,3,32,7,9
17,31,43,47,1,3,2
38,19,50,7,30,4,7
9,31,32,33,4,3,7
34,42,17,40,4,9,4
44,2,36,22,24,2,1
2,29,31,38,32,4,1
18,1,8,28,31,9,8
46,41,36,13,12,8,1
37,9,49,24,39,3,9
49,46,45,39,38,7,8
4,13,37,35,46,9,3
39,11,3,4,28,8,2
42,28,13,29,25,4,5
15,9,47,21,4,7,2
27,31,5,42,40,6,1
13,6,30,1,49,1,9
24,49,47,26,13,4,8
35,41,21,45,17,5,1
50,27,38,17,29,3,1
1,16,48,4,40,1,9
4,27,6,48,1,1,6
46,35,39,30,9,6,8
38,31,2,36,43,7,3
39,5,11,9,4,3,5
32,22,16,42,20,8,9
21,23,33,50,40,5,4
23,47,7,19,29,6,1
36,12,15,45,32,9,7
9,41,36,49,28,7,5
28,32,46,8,19,4,7
46,2,10,3,33,8,7
3,35,29,42,20,3,8
46,19,42,36,38,8,2
2,24,43,38,34,1,7
32,22,1,48,50,7,6
44,2,24,14,39,7,6
21,11,13,3,18,5,4
41,24,23,42,13,5,1
47,35,11,2,24,5,9
15,14,12,19,23,7,8
45,3,49,15,2,9,5
42,45,13,48,12,3,9
28,41,25,11,27,8,5
17,24,37,19,46,2,7
50,13,26,1,20,7,6
12,21,6,33,27,7,3
17,33,22,21,4,4,8
21,47,23,38,50,6,2
4,41,6,21,39,2,6
22,45,48,11,36,1,4
38,40,25,15,41,1,2
28,16,20,22,11,4,9
28,3,45,10,15,7,5
17,47,11,36,9,2,1
37,20,21,45,46,3,2
42,25,10,20,14,8,11
16,23,24,29,26,2,9
28,9,49,25,17,9,8
22,9,10,50,1,11,5
49,40,50,39,4,2,5
25,38,40,6,36,10,4
37,20,3,48,19,8,11
41,19,48,5,12,8,10
11,22,21,16,44,8,3
49,50,20,17,35,4,3
41,20,5,30,16,11,6
16,15,44,30,50,3,2
11,23,31,8,46,9,8
28,47,29,11,49,5,1
12,13,40,49,23,7,10
19,17,42,45,38,9,10
26,6,33,39,34,3,4
16,3,25,35,26,5,9
4,50,15,49,23,2,6
5,1,25,48,22,11,3
37,38,19,27,12,5,10
8,33,14,24,5,8,3
34,32,18,14,13,1,10
36,24,34,7,23,11,8
7,20,37,10,27,7,4
45,18,1,13,17,8,3
16,6,31,28,14,11,2
42,50,6,14,4,2,4
25,45,22,33,12,5,7
46,8,2,10,19,5,9
37,12,26,38,44,4,7
42,35,50,48,47,9,8
21,5,34,31,28,2,1
28,32,49,9,30,9,10
39,2,42,17,8,3,10
25,38,19,9,36,11,7
6,33,48,14,34,6,2
28,18,40,27,35,3,5
28,15,44,31,5,1,6
14,16,23,45,38,8,11
42,34,18,38,26,8,5
12,16,4,1,48,9,10
47,23,12,29,32,3,5
46,18,37,48,23,2,10
37,19,2,33,46,5,8
39,28,22,12,27,4,10
39,16,20,17,50,4,8
20,45,23,14,46,1,11
41,50,11,43,14,9,2
40,15,4,29,1,1,5
30,18,1,4,23,3,7
47,17,22,6,45,3,11
39,44,24,4,12,2,4
16,40,38,24,18,2,4
34,14,26,19,28,5,8
25,50,11,45,41,7,2
27,40,7,43,30,9,8
34,21,20,38,19,9,3
21,12,47,44,29,2,1
12,37,18,33,7,1,11
10,2,23,31,5,5,2
14,48,1,9,12,7,1
22,7,24,28,21,1,11
26,21,25,19,44,7,3
36,44,43,16,50,8,7
42,30,45,3,49,5,10
1,6,10,31,12,7,2
